# Time-averaged data for fix printcond
# TimeStep v_totalcondx v_totalcondy v_totalcondz
504 0.00585106 0.00042141 -0.00147886
506 0.00602948 0.000309079 -0.00138628
508 0.00619258 0.000197048 -0.00132763
510 0.00633894 8.91863e-05 -0.00129791
512 0.00646518 -1.05728e-05 -0.00129493
514 0.00656933 -9.92977e-05 -0.00131558
516 0.00664997 -0.000173239 -0.00135678
518 0.00670691 -0.00022977 -0.0014156
520 0.00674279 -0.000269064 -0.00148883
522 0.00676251 -0.000291324 -0.0015748
524 0.00677323 -0.000298687 -0.00167505
526 0.00678241 -0.00029467 -0.00178491
528 0.00679773 -0.000283983 -0.00189728
530 0.00682675 -0.000272051 -0.00199972
532 0.00687575 -0.000263813 -0.00207213
534 0.00694649 -0.000261249 -0.00209164
536 0.0070329 -0.000261035 -0.00204211
538 0.00711733 -0.000257018 -0.00192222
540 0.0071809 -0.000235366 -0.00174961
542 0.0072069 -0.000184473 -0.00154534
544 0.00718901 -0.00010125 -0.00132095
546 0.00713353 1.04801e-05 -0.00107847
548 0.00705476 0.000142182 -0.00081698
550 0.00696931 0.000285955 -0.000533521
552 0.00689492 0.000432833 -0.000226408
554 0.00684714 0.000574371 0.000102875
556 0.0068389 0.000703188 0.000450423
558 0.00687913 0.000817725 0.000811643
560 0.00697043 0.000916702 0.00117896
562 0.00710814 0.00100195 0.00154269
564 0.00728222 0.0010774 0.00189306
566 0.00748045 0.00114749 0.00222172
568 0.00769163 0.00121582 0.00252328
570 0.00790766 0.00128451 0.00279616
572 0.00812416 0.00135428 0.00304213
574 0.00833994 0.00142484 0.00326501
576 0.00855587 0.00149543 0.00346923
578 0.00877423 0.00156531 0.00365943
580 0.00899797 0.00163405 0.00384032
582 0.00922836 0.0017012 0.00401501
584 0.0094673 0.00176697 0.00418853
586 0.00971547 0.00183226 0.00436666
588 0.00997178 0.00189871 0.00455621
590 0.0102317 0.00196919 0.00476397
592 0.0104863 0.00204876 0.00499562
594 0.0107223 0.00214423 0.00525523
596 0.0109257 0.00225686 0.00554307
598 0.0110888 0.00238705 0.00585472
600 0.0112127 0.00253118 0.00618559
602 0.0113061 0.00268273 0.00653042
604 0.0113806 0.00283426 0.00688401
606 0.0114471 0.00297851 0.00724142
608 0.011513 0.00311088 0.0075971
610 0.0115819 0.00322671 0.00794694
612 0.0116566 0.00332249 0.00828631
614 0.0117392 0.00339881 0.00861315
616 0.0118291 0.00345712 0.00892337
618 0.0119253 0.00350027 0.00921578
620 0.0120265 0.00353179 0.00949227
622 0.01213 0.00356051 0.00975531
624 0.0122299 0.00358876 0.0100039
626 0.0123159 0.00361672 0.0102308
628 0.0123712 0.00364218 0.01042
630 0.0123804 0.00366186 0.0105553
632 0.0123319 0.00367242 0.0106297
634 0.0122252 0.00367211 0.0106483
636 0.0120692 0.00366344 0.0106254
638 0.0118777 0.00365112 0.0105774
640 0.011662 0.00364076 0.0105159
642 0.0114302 0.00363803 0.0104463
644 0.0111872 0.00364799 0.0103699
646 0.0109374 0.00367425 0.0102864
648 0.0106859 0.00371857 0.0101949
650 0.0104384 0.0037808 0.0100945
652 0.010201 0.00385899 0.00998444
654 0.00997925 0.0039499 0.00986377
656 0.00977716 0.00404934 0.0097307
658 0.00959676 0.00415272 0.00958278
660 0.00943821 0.00425584 0.00941823
662 0.0092992 0.00435477 0.00923236
664 0.00917594 0.00444637 0.00902132
666 0.00906351 0.00452871 0.00878183
668 0.00895537 0.00460152 0.00850898
670 0.00884365 0.00466633 0.00819595
672 0.00872217 0.00472609 0.00783996
674 0.00858818 0.00478323 0.00744075
676 0.00844686 0.00483859 0.00700801
678 0.00831301 0.00489067 0.00656522
680 0.00820544 0.00493557 0.00614495
