Box size: max: 28.496098 min: 3.5039283 in Ang
Timestep: 0.5
T: 673
Chunk 1 of size 2ps
Start time: 2.0ps
Lag    Lag (in ps)     Auto-correlation     Integral(acf)        Conductivity
346      0.173          2.9029864960014203e-05    0.006969096191329682    4.110775641176099
348      0.174          2.9191256745544864e-05    0.006998206752182462    4.127946732113753
350      0.175          2.9356460397598495e-05    0.007027480610754033    4.14521414548207
352      0.176          2.9524609064071395e-05    0.00705692114548487    4.162579874080461
354      0.177          2.9694872965692705e-05    0.007086530886499751    4.180045410322728
356      0.178          2.9866077932466685e-05    0.0071163113619488304    4.197611655600132
358      0.179          3.0036409787906616e-05    0.007146262605809018    4.215278629954218
360      0.18          3.0203678752845716e-05    0.007176382650079393    4.233045172544324
362      0.181          3.0365949549202737e-05    0.007206667464230418    4.250908905931224
364      0.182          3.0521860505970585e-05    0.0072371113692580044    4.268866480310149
366      0.183          3.0670407422133055e-05    0.007267707503222056    4.286913848112312
368      0.184          3.08106503277331e-05    0.007298448032096989    4.30504638837674
370      0.185          3.0941552311166285e-05    0.007329324133416439    4.323258897102963
372      0.186          3.1061985663300185e-05    0.007360325902403673    4.341545531881319
374      0.187          3.1170929229346614e-05    0.007391442359849996    4.359899816540093
376      0.188          3.1267698680239454e-05    0.0074226616738047885    4.3783147719111
378      0.189          3.135212274795629e-05    0.007453971584518887    4.396783166485857
380      0.19          3.142466207184366e-05    0.007485359976928787    4.415297854099843
382      0.191          3.148635858575015e-05    0.007516815487257584    4.433852131740789
384      0.192          3.153847463665337e-05    0.007548327903868786    4.452439975995412
386      0.193          3.15821720750443e-05    0.007579888227224635    4.471056078416307
388      0.194          3.1618567899477506e-05    0.007611488597211896    4.489695802654494
390      0.195          3.1649073577089626e-05    0.007643122417950178    4.508355258078577
392      0.196          3.167550120961566e-05    0.0076747847053435314    4.527031504780759
394      0.197          3.16998549377547e-05    0.007706472383417217    4.545722728373396
396      0.198          3.172408083388845e-05    0.007738184351303038    4.564428279500811
398      0.199          3.1749866116608233e-05    0.007769921324778287    4.583148580369813
400      0.2          3.177850359253926e-05    0.00780168550963286    4.6018849320827435
402      0.201          3.1810783084493146e-05    0.007833480152971375    4.620639249969538
404      0.202          3.1846828665063475e-05    0.007865308958846155    4.639413718894296
406      0.203          3.1885973530089914e-05    0.00789717535994373    4.65821036365389
408      0.204          3.192675096912011e-05    0.007929081722193336    4.677030579810096
410      0.205          3.1967101000495484e-05    0.007961028648178143    4.69587472280129
412      0.206          3.2004710768405016e-05    0.007993014554062594    4.714741858389738
414      0.207          3.2037301865282416e-05    0.008025035560379437    4.73362969824148
416      0.208          3.206280324100673e-05    0.008057085612932583    4.752534671241824
418      0.209          3.207944779245955e-05    0.008089156738449316    4.771452074293788
420      0.21          3.208590150980936e-05    0.008121239413100452    4.7903762896925866
422      0.211          3.2081485884757816e-05    0.008153323106797734    4.809301106183686
424      0.212          3.2066307800390245e-05    0.008185397003640309    4.828220143923772
426      0.213          3.204115023188057e-05    0.008217450732656444    4.847127285514429
428      0.214          3.200726877307932e-05    0.008249474942158923    4.866017014790157
430      0.215          3.196627870684448e-05    0.008281461715898886    4.884884662289934
432      0.216          3.1920070144805294e-05    0.00831340489032471    4.9037265923948565
434      0.217          3.187068400453057e-05    0.008345300267399379    4.9225403288601095
436      0.218          3.1820140899807924e-05    0.008377145679851547    4.9413245933038175
438      0.219          3.177021849675133e-05    0.008408940859549827    4.960079227566596
440      0.22          3.172224102209767e-05    0.008440687089309252    4.978804988326877
442      0.221          3.167695766186226e-05    0.008472386688651232    4.997503243772421
444      0.222          3.1634526615360215e-05    0.008504042430789843    5.016175629705141
446      0.223          3.159454588161721e-05    0.008535656967038332    5.034823710022794
448      0.224          3.155601890386381e-05    0.008567232249431072    5.053448636148052
450      0.225          3.1517372636501235e-05    0.008598768945201255    5.072050801653607
452      0.226          3.147665370228146e-05    0.008630265958370647    5.090629560068166
454      0.227          3.1431838153019385e-05    0.008661720204298297    5.109183091892251
456      0.228          3.138103067803707e-05    0.008693126638713826    5.127708421723711
458      0.229          3.13225435692314e-05    0.00872447842583746    5.146201517424631
460      0.23          3.12549287793493e-05    0.008755767162011749    5.164657422032243
462      0.231          3.11769512852558e-05    0.008786983102044052    5.183070387268804
464      0.232          3.108754407660565e-05    0.008818115349724983    5.201433985920384
466      0.233          3.098584558998038e-05    0.008849152044558276    5.219741221980929
468      0.234          3.087133785532808e-05    0.00888008063628093    5.237984692580106
470      0.235          3.074400251584449e-05    0.008910888306466516    5.2561568366693
472      0.236          3.060447637153004e-05    0.008941562545910203    5.27425027559666
474      0.237          3.0453978712613975e-05    0.008972091773452276    5.2922581781249685
476      0.238          3.0293797431892e-05    0.009002465661524529    5.310174452457725
478      0.239          3.0124684126872755e-05    0.009032674902303911    5.327993608303042
480      0.24          2.9946700075337515e-05    0.009062710594405016    5.345710395109442
482      0.241          2.9759606675454913e-05    0.009092563747780412    5.3633195100274635
484      0.242          2.95632276265336e-05    0.009122225164931407    5.380815527840903
486      0.243          2.935745776675726e-05    0.009151685507628052    5.398192940322128
488      0.244          2.9142167099640006e-05    0.00918093532006125    5.41544616988853
490      0.245          2.8917171708698066e-05    0.00920996498946542    5.432569546375503
492      0.246          2.8682309868465503e-05    0.009238764730254001    5.449557297678631
494      0.247          2.843753334772159e-05    0.009267324651862096    5.466403589771215
496      0.248          2.8183019453062314e-05    0.009295634928262487    5.483102626694606
498      0.249          2.7919281876989565e-05    0.009323686078927512    5.499648816285764
500      0.25          2.7647181467076295e-05    0.009351469310599545    5.516036971773219
502      0.251          2.7367679832470253e-05    0.00937897674124932    5.532262443880652
504      0.252          2.708151345224754e-05    0.009406201337891678    5.548321084147015
506      0.253          2.6789176420223855e-05    0.009433136682827914    5.564209107042769
508      0.254          2.6491206453627436e-05    0.009459776874264839    5.579923031349256
510      0.255          2.6188426139774754e-05    0.009486116690561541    5.595459777040935
512      0.256          2.5881930370345846e-05    0.009512151868816602    5.610816829612218
514      0.257          2.5572970399462885e-05    0.009537879319201505    5.625992366503702
516      0.258          2.526286296603655e-05    0.009563297235884255    5.640985322531327
518      0.259          2.4952912025753277e-05    0.00958840512338015    5.655795405429584
520      0.26          2.4644301214092995e-05    0.009613203730000073    5.670423056595471
522      0.261          2.433794207563792e-05    0.009637694851644937    5.684869335355125
524      0.262          2.4034326528813117e-05    0.009661880985947164    5.699135714956471
526      0.263          2.3733465140878035e-05    0.009685764881782008    5.713223816844979
528      0.264          2.343491835476537e-05    0.00970934907352983    5.727135135944634
530      0.265          2.3137930558400517e-05    0.009732635497986416    5.740870814689506
532      0.266          2.2841601414551132e-05    0.009755625263972889    5.754431507126369
534      0.267          2.2544998308504148e-05    0.009778318563834418    5.7678173267115165
536      0.268          2.2247225062126334e-05    0.009800714675519732    5.781027847537387
538      0.269          2.1947518550072685e-05    0.009822812047325833    5.794062154319884
540      0.27          2.1645467693285518e-05    0.009844608540447511    5.806918985468108
542      0.271          2.134124409865553e-05    0.009866101896343482    5.819597008763899
544      0.272          2.1035605723657773e-05    0.009887290321254637    5.832095166144483
546      0.273          2.0729710112296938e-05    0.009908172979172614    5.844412964483819
548      0.274          2.0424816416537907e-05    0.009928750242437032    5.85655062340933
550      0.275          2.012201607034955e-05    0.009949023658680476    5.868509055804144
552      0.276          1.9822156993991728e-05    0.009968995745212646    5.880289746522985
554      0.277          1.9525890470225646e-05    0.009988669768944757    5.891894622578865
556      0.278          1.9233550715745857e-05    0.010008049489537742    5.903325901637051
558      0.279          1.894490623581508e-05    0.010027138718013522    5.914585831658495
560      0.28          1.8659030426579522e-05    0.010045940686344719    5.9256763190474055
562      0.281          1.837448709299836e-05    0.010064457445104508    5.936598573350335
564      0.282          1.8089694442753335e-05    0.010082689535872384    5.947352914022162
566      0.283          1.780324080108356e-05    0.010100636003494302    5.95793877765784
568      0.284          1.751403932601078e-05    0.01011829464355785    5.968354863967545
570      0.285          1.7221435900390066e-05    0.01013566238117105    5.978599359202309
572      0.286          1.6925242097362944e-05    0.010152735720169927    5.988670201122591
574      0.287          1.662568941309264e-05    0.010169511185925155    5.998565340191236
576      0.288          1.632331984545889e-05    0.010185985690554431    6.00828295499683
578      0.289          1.6018905071515602e-05    0.010202156803012917    6.017821611568649
580      0.29          1.5713429625800163e-05    0.010218022970361576    6.027180393893512
582      0.291          1.5408116084446294e-05    0.010233583743216697    6.036359036898941
584      0.292          1.510442695046648e-05    0.010248840014734154    6.045358067419879
586      0.293          1.4803987661879033e-05    0.010263794222040327    6.0541789230142955
